29%,885000,1598098561
29%,870000,1598098621
28%,857000,1598098681
28%,850000,1598098741
28%,860000,1598098801
29%,876000,1598098862
29%,891000,1598098921
30%,907000,1598098981
30%,923000,1598099041
31%,938000,1598099101
31%,954000,1598099161
32%,970000,1598099222
32%,985000,1598099281
33%,999000,1598099341
33%,1010000,1598099401
34%,1027000,1598099461
34%,1041000,1598099521
35%,1051000,1598099581
35%,1066000,1598099641
36%,1082000,1598099701
36%,1096000,1598099761
37%,1112000,1598099821
37%,1129000,1598099881
38%,1145000,1598099941
38%,1162000,1598100001
39%,1179000,1598100061
39%,1195000,1598100121
40%,1212000,1598100182
40%,1228000,1598100241
41%,1245000,1598100301
42%,1261000,1598100361
42%,1278000,1598100421
43%,1295000,1598100481
43%,1311000,1598100542
44%,1328000,1598100601
44%,1344000,1598100661
45%,1361000,1598100721
45%,1377000,1598100781
46%,1394000,1598100841
47%,1411000,1598100901
47%,1427000,1598100961
48%,1444000,1598101021
48%,1460000,1598101081
49%,1477000,1598101141
49%,1494000,1598101201
50%,1510000,1598101261
50%,1527000,1598101322
51%,1541000,1598101381
51%,1552000,1598101441
52%,1569000,1598101501
72%,2170000,1598102460
71%,2158000,1598102521
71%,2145000,1598102581
71%,2133000,1598102641
70%,2121000,1598102701
70%,2109000,1598102761
69%,2097000,1598102821
69%,2085000,1598102881
69%,2072000,1598102941
68%,2063000,1598103001
68%,2058000,1598103061
68%,2054000,1598103121
68%,2049000,1598103181
68%,2045000,1598103241
68%,2040000,1598103301
67%,2029000,1598103361
67%,2023000,1598103421
67%,2018000,1598103481
67%,2014000,1598103541
66%,2009000,1598103601
66%,2005000,1598103661
66%,2000000,1598103721
66%,1996000,1598103781
66%,1991000,1598103841
66%,1987000,1598103901
66%,1982000,1598103962
65%,1978000,1598104021
65%,1973000,1598104081
65%,1969000,1598104141
65%,1964000,1598104201
65%,1959000,1598104261
65%,1955000,1598104322
65%,1950000,1598104381
64%,1946000,1598104441
64%,1941000,1598104501
64%,1937000,1598104561
64%,1932000,1598104621
64%,1927000,1598104681
64%,1923000,1598104741
63%,1918000,1598104801
63%,1914000,1598104861
63%,1909000,1598104921
63%,1905000,1598104981
63%,1900000,1598105041
63%,1895000,1598105102
63%,1891000,1598105161
62%,1886000,1598105221
62%,1882000,1598105281
62%,1877000,1598105341
62%,1872000,1598105401
62%,1868000,1598105462
62%,1863000,1598105521
61%,1856000,1598105581
61%,1850000,1598105641
61%,1845000,1598105701
61%,1840000,1598105761
61%,1836000,1598105821
61%,1831000,1598105882
60%,1826000,1598105941
60%,1822000,1598106001
60%,1817000,1598106061
60%,1812000,1598106121
60%,1808000,1598106181
60%,1803000,1598106241
59%,1798000,1598106302
59%,1790000,1598106361
59%,1779000,1598106421
59%,1774000,1598106481
58%,1769000,1598106541
58%,1765000,1598106601
58%,1760000,1598106661
58%,1755000,1598106722
58%,1751000,1598106781
58%,1746000,1598106841
58%,1741000,1598106901
57%,1737000,1598106961
57%,1732000,1598107021
57%,1727000,1598107082
57%,1723000,1598107141
57%,1718000,1598107201
57%,1713000,1598107261
56%,1709000,1598107321
56%,1704000,1598107381
56%,1700000,1598107442
56%,1695000,1598107501
56%,1690000,1598107561
56%,1686000,1598107621
56%,1681000,1598107681
55%,1676000,1598107741
55%,1672000,1598107801
55%,1667000,1598107862
55%,1663000,1598107921
55%,1658000,1598107981
55%,1653000,1598108041
54%,1649000,1598108101
54%,1644000,1598108161
54%,1639000,1598108222
54%,1635000,1598108281
54%,1630000,1598108341
54%,1625000,1598108401
54%,1621000,1598108461
